ID,UniversityID
1,8
2,1
3,2
4,4
5,8
7,2
8,5
9,8
10,8
11,
12,
13,5
14,
15,
16,
17,
18,2
19,
20,
21,
22,
23,
24,
25,
26,1
27,1
28,
29,
30,
31,
32,
33,
34,
35,
36,1
37,6
38,6
39,
40,
41,
42,4
43,1
44,
45,
46,
47,
48,5
49,
50,
51,1
52,6
53,
54,1
55,1
56,1
57,1
58,1
59,1
60,1
62,1
63,1
64,
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,
159,1
160,3
161,3
162,7
163,7
164,7
165,5
166,5
167,5
168,4
169,4
170,1
171,1
172,1
173,
174,2
175,2
176,1
177,
178,
179,6
180,
181,6
182,5
183,1
184,5
185,7
186,
187,2
188,6
189,7
190,2
191,6
192,7
193,7
194,7
195,
196,7
197,1
198,
199,7
200,1
201,1
202,1
203,1
204,
205,3
206,6
207,1
208,1
209,
210,
211,1
212,1
213,3
214,3
215,2
216,5
217,4
218,1
219,1
220,1
221,1
222,2
223,6
224,1
225,1
226,1
227,1
228,
229,
230,
231,
232,
233,
234,
235,
236,1
237,
238,1
239,
240,1
241,
242,
243,
244,7
245,6
246,3
247,5
248,
249,7
250,
251,2
252,5
253,6
254,6
255,
256,
257,
258,
259,6
260,
261,6
262,6
263,6
264,6
265,
266,
267,
268,6
269,
270,6
271,6
272,
273,3
274,6
275,6
276,6
277,6
278,6
279,6
280,6
281,6
282,1
283,6
284,6
285,
286,
287,
288,
289,6
290,6
291,6
292,6
293,6
294,
295,6
296,6
297,6
298,3
299,2
300,2
301,2
302,2
303,6
304,2
305,
306,2
307,2
308,2
309,6
310,6
311,
312,
313,2
314,2
315,2
316,
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,6
325,2
326,
327,2
328,2
329,2
330,2
331,6
332,2
333,
334,1
335,1
336,1
337,1
338,1
339,
340,1
341,
342,1
343,
344,1
345,
346,1
347,1
348,6
349,2
350,1
351,1
352,
353,
354,1
355,3
356,2
357,
358,1
359,1
360,
361,1
362,1
363,1
364,
365,
366,
367,1
368,1
369,2
370,1
371,
372,1
373,1
374,1
375,1
376,6
377,1
378,1
379,
380,1
381,1
382,2
383,1
384,
385,
386,
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,
415,4
416,4
417,1
418,4
419,1
420,4
421,
422,1
423,1
424,1
425,
426,1
427,
428,1
429,1
430,1
431,4
432,1
433,
434,1
435,4
436,1
437,
438,4
439,1
440,1
441,
442,1
443,1
444,1
445,6
446,1
447,1
448,
449,
450,6
451,6
452,6
453,6
454,
455,6
456,
457,6
458,6
459,1
460,6
461,
462,
463,1
464,1
465,
466,6
467,1
468,1
469,
470,
471,
472,1
473,4
474,
475,
476,2
477,1
478,
479,2
480,
481,
482,4
483,1
484,1
485,6
486,
487,1
488,
489,
490,5
491,5
492,5
493,5
494,5
495,
496,1
498,1
499,5
500,
501,2
502,5
503,1
504,5
505,5
506,
507,1
508,
509,4
510,4
511,5
512,5
513,5
514,5
515,2
516,
517,2
518,5
519,
520,5
521,5
522,5
523,6
524,2
525,1
526,5
527,2
528,2
529,2
530,
531,
532,
533,
534,
535,
536,
537,
538,
539,
540,
541,
542,
543,
544,2
545,
546,
547,5
548,7
549,5
550,5
551,5
552,
553,5
554,5
555,5
556,
557,5
558,
559,
560,1
561,
562,5
563,1
564,
565,1
566,1
567,1
568,1
569,
570,1
571,
572,7
573,
574,
575,
576,
577,1
578,
579,2
580,
581,1
582,2
583,2
584,2
585,6
586,5
587,
588,
589,1
590,1
591,2
592,
593,5
594,5
595,1
596,1
597,2
598,7
599,3
600,3
601,2
602,4
603,3
604,3
605,2
606,4
607,4
608,4
609,2
610,3
611,4
612,2
613,4
614,4
615,2
616,2
617,4
618,4
619,4
620,2
621,2
622,2
623,2
624,4
625,2
626,3
627,2
628,4
629,3
630,2
631,2
632,2
633,3
634,4
635,2
636,3
637,
638,4
639,2
640,2
641,3
642,2
643,3
644,4
645,2
646,4
647,4
648,4
649,2
650,2
651,2
652,
653,2
654,2
655,4
656,2
657,4
658,
659,4
660,4
661,4
662,2
663,4
664,3
665,2
666,4
667,4
668,4
669,2
670,3
671,2
672,7
673,4
674,4
675,2
676,2
677,2
678,4
679,4
680,5
681,5
682,5
683,5
684,5
685,7
686,
687,2
688,5
689,7
690,5
691,5
692,
693,7
694,
695,7
696,7
697,7
698,7
699,7
700,6
701,7
702,5
703,
704,7
705,7
706,5
707,5
708,2
709,7
710,7
711,5
712,7
713,7
714,6
715,7
716,
717,7
718,
719,3
720,6
721,5
722,6
723,5
724,
725,5
726,7
727,6
728,6
729,7
730,3
731,7
732,7
733,6
734,6
735,6
736,
737,6
738,1
739,6
740,7
741,5
742,6
743,6
744,5
745,
746,5
747,6
748,6
749,7
750,6
751,5
752,7
753,7
754,
755,7
756,5
757,6
758,5
759,7
760,7
761,
762,
763,3
764,5
765,4
766,5
767,5
768,
769,6
770,5
771,7
772,5
773,6
774,6
775,7
776,5
777,5
778,6
779,7
780,7
781,5
782,6
783,7
784,6
785,6
786,7
787,7
788,5
789,7
790,6
791,
